                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5001,                 3.7997,                  2.279,                0.00362,                0.26904,                0.01477,                0.00535,                 2.4478,                 4.0226,                 2.5394,              5.555e-05,              5.555e-05,              5.555e-05
                      2,                 2.0408,                 3.6376,                 1.9183,                0.01047,                0.49787,                0.10378,                0.04365,                 1.8223,                 3.8171,                 1.8126,              0.0001214,              0.0001214,              0.0001214
                      3,                 1.6178,                 3.3056,                 1.5749,                0.01258,                0.54548,                0.18099,                0.07709,                 1.6559,                 3.6912,                  1.517,             0.00018638,             0.00018638,             0.00018638
                      4,                 1.4805,                 2.8839,                 1.4574,                0.01411,                0.55418,                0.20588,                0.10732,                 1.5744,                 3.5596,                 1.4504,             0.00025047,             0.00025047,             0.00025047
                      5,                 1.3605,                 2.6166,                 1.4097,                0.01799,                 0.5941,                0.25005,                0.14793,                 1.3587,                 3.3248,                 1.3363,             0.00031368,             0.00031368,             0.00031368
                      6,                 1.3684,                 2.3243,                 1.3766,                0.77166,                0.07991,                0.28122,                0.15332,                 1.3727,                 3.0516,                 1.3107,             0.00037602,             0.00037602,             0.00037602
                      7,                  1.252,                 2.0741,                 1.3202,                0.54265,                0.27224,                0.42874,                0.23157,                 1.4106,                 2.6708,                 1.4063,             0.00043747,             0.00043747,             0.00043747
                      8,                 1.2409,                 1.8093,                 1.2635,                0.55026,                0.40015,                0.47419,                0.26798,                 1.3772,                 2.4116,                 1.3586,             0.00049805,             0.00049805,             0.00049805
                      9,                 1.2691,                 1.8605,                 1.3194,                0.63468,                0.35217,                0.56276,                0.33486,                 1.2754,                 2.3266,                 1.3342,             0.00055774,             0.00055774,             0.00055774
                     10,                 1.1804,                 1.6673,                 1.2416,                0.57756,                0.46565,                0.58367,                0.33277,                 1.2867,                 2.1402,                 1.3186,             0.00061655,             0.00061655,             0.00061655
                     11,                 1.2067,                 1.5624,                  1.255,                0.74884,                0.39557,                0.63299,                0.39915,                 1.2075,                   2.19,                 1.2743,             0.00067449,             0.00067449,             0.00067449
                     12,                 1.1553,                 1.5127,                 1.2033,                0.66191,                0.49981,                0.67228,                0.42042,                 1.1982,                 2.2435,                 1.2807,             0.00073154,             0.00073154,             0.00073154
                     13,                 1.1119,                  1.368,                 1.1772,                  0.581,                0.59254,                0.72654,                0.44379,                 1.2568,                 1.9047,                 1.3116,             0.00078772,             0.00078772,             0.00078772
                     14,                 1.1057,                 1.3943,                 1.1943,                 0.5528,                0.59082,                0.67987,                0.40634,                 1.2976,                 1.8511,                 1.3424,             0.00084301,             0.00084301,             0.00084301
                     15,                 1.0669,                 1.2813,                 1.1476,                 0.5447,                 0.6474,                0.67259,                0.39433,                 1.2948,                 1.9224,                 1.3558,             0.00089743,             0.00089743,             0.00089743
                     16,                 1.0462,                  1.307,                 1.1766,                0.60981,                 0.6426,                0.74751,                0.48483,                 1.1953,                 1.8469,                 1.2656,             0.00095096,             0.00095096,             0.00095096
                     17,                 1.0975,                 1.2875,                 1.1705,                 0.5213,                0.57878,                0.64935,                0.38237,                 1.4436,                 2.0405,                 1.4904,             0.00099368,             0.00099368,             0.00099368
                     18,                 1.0737,                 1.2963,                 1.1785,                0.75617,                0.62993,                0.71855,                0.47403,                 1.1716,                 1.6904,                 1.2775,             0.00099368,             0.00099368,             0.00099368
                     19,                 1.0354,                 1.2475,                 1.1665,                 0.6995,                0.70036,                0.74704,                0.48077,                  1.198,                 1.7426,                 1.2774,             0.00098635,             0.00098635,             0.00098635
                     20,                 1.0511,                 1.2435,                 1.1444,                0.73612,                0.58476,                 0.6966,                0.44841,                 1.3216,                 1.7144,                 1.3264,             0.00097901,             0.00097901,             0.00097901
                     21,                 1.0366,                 1.2072,                 1.1447,                0.77201,                0.61926,                0.73339,                0.48567,                 1.2105,                 1.5791,                 1.2664,             0.00097168,             0.00097168,             0.00097168
                     22,                 1.0225,                   1.15,                 1.1281,                0.68816,                0.72052,                0.77243,                0.49358,                 1.1793,                 1.4855,                  1.265,             0.00096435,             0.00096435,             0.00096435
                     23,                 1.0135,                 1.1572,                 1.1101,                 0.6554,                0.76022,                0.76442,                0.50429,                  1.149,                 1.4602,                 1.2425,             0.00095702,             0.00095702,             0.00095702
                     24,                0.99729,                 1.1152,                 1.1239,                0.76563,                0.71823,                0.80237,                0.53784,                 1.1215,                 1.3965,                  1.201,             0.00094968,             0.00094968,             0.00094968
                     25,                 1.0316,                 1.1487,                 1.1441,                0.77091,                0.70063,                0.80749,                0.55124,                 1.0963,                 1.5007,                 1.1793,             0.00094235,             0.00094235,             0.00094235
                     26,                0.98447,                 1.1071,                 1.0908,                0.75436,                0.76981,                0.83957,                0.57236,                 1.0827,                 1.2778,                 1.1896,             0.00093502,             0.00093502,             0.00093502
                     27,                0.98353,                 1.0606,                 1.1208,                0.73735,                0.80523,                0.84686,                0.58541,                 1.0704,                 1.2102,                 1.2215,             0.00092769,             0.00092769,             0.00092769
                     28,                0.99954,                 1.1069,                  1.114,                0.72629,                0.80611,                0.86211,                0.54923,                 1.0737,                 1.1623,                 1.2049,             0.00092035,             0.00092035,             0.00092035
                     29,                0.94442,                 1.0776,                 1.1294,                0.76563,                0.83965,                 0.8729,                0.57473,                 1.0991,                 1.0913,                 1.2084,             0.00091302,             0.00091302,             0.00091302
